#              step            E_total                m_x                m_y                m_z             E_exch            E_demag 
#                                    J                                                                           J                  J 
               122 6.311416804610e-19 9.738206986546e-01 1.160107076485e-01 8.903755774983e-09 8.107948160416e-20 5.500621988568e-19 
               123 6.314018103535e-19 9.737887466847e-01 1.160256441935e-01 -2.072731483349e-09 8.140372995332e-20 5.499980804002e-19 
               124 6.311092345015e-19 9.737841766073e-01 1.160278885185e-01 -4.146153456612e-09 8.112731054530e-20 5.499819239562e-19 
               125 6.311016571050e-19 9.737796215407e-01 1.160300741673e-01 -4.620098381849e-09 8.112948129275e-20 5.499721758122e-19 
               126 6.310979956114e-19 9.737752069067e-01 1.160321966225e-01 -4.704861785103e-09 8.113532051307e-20 5.499626750983e-19 
               127 6.310805966146e-19 9.737502468677e-01 1.160442161989e-01 -4.589150611184e-09 8.117169640771e-20 5.499089002069e-19 
               128 6.310766099625e-19 9.737466987647e-01 1.160459486193e-01 -4.415139717994e-09 8.117547897714e-20 5.499011309853e-19 
               129 6.310721308784e-19 9.737407804435e-01 1.160488434623e-01 -4.203024100237e-09 8.118389430584e-20 5.498882365725e-19 
               130 6.310694864647e-19 9.737372814500e-01 1.160505605266e-01 -4.101016720020e-09 8.118884492967e-20 5.498806415351e-19 
               131 6.309931647535e-19 9.736323613381e-01 1.161019849004e-01 -8.646479023178e-10 8.133929192745e-20 5.496538728260e-19 
               132 6.309888135838e-19 9.736269125908e-01 1.161048131365e-01 -4.947535776990e-10 8.134645919152e-20 5.496423543923e-19 
               133 6.309843113069e-19 9.736203254527e-01 1.161082405197e-01 -1.854277422007e-10 8.135602085741e-20 5.496282904495e-19 
               134 6.309812693891e-19 9.736173252513e-01 1.161098067217e-01 -9.930419887438e-11 8.135942940205e-20 5.496218399871e-19 
               135 6.309764630761e-19 9.736106550553e-01 1.161132932174e-01 6.370737099299e-11 8.136894955629e-20 5.496075135199e-19 
               136 6.308823042320e-19 9.734778843335e-01 1.161826620301e-01 2.296427624428e-09 8.155910197943e-20 5.493232022526e-19 
               137 6.869649345542e-19 9.677205709978e-01 1.189525254971e-01 -3.898406384050e-07 1.476138706157e-19 5.393510639385e-19 
               138 6.293538796938e-19 9.677288536766e-01 1.189593950801e-01 -3.390627715678e-07 9.057160563806e-20 5.387822740558e-19 
               139 6.291664340199e-19 9.677283553757e-01 1.189640235399e-01 -3.006252141028e-07 9.037553549777e-20 5.387908985222e-19 
               140 6.291180107055e-19 9.677277276840e-01 1.189693928661e-01 -2.641860267274e-07 9.031718728928e-20 5.388008234162e-19 
               141 6.290931411130e-19 9.677262026237e-01 1.189820605045e-01 -1.946948717727e-07 9.027244910456e-20 5.388206920084e-19 
               142 6.290920060031e-19 9.677246737815e-01 1.189945931101e-01 -1.531827799406e-07 9.026046986414e-20 5.388315361390e-19 
               143 6.290864116150e-19 9.677148008439e-01 1.190752449697e-01 5.286038644836e-08 9.019165189941e-20 5.388947597155e-19 
               144 6.290856780286e-19 9.677120801257e-01 1.190971339533e-01 3.393760836073e-08 9.018484917826e-20 5.389008288503e-19 
               145 6.290871524144e-19 9.677101510219e-01 1.191126323678e-01 2.728104271268e-08 9.018173780267e-20 5.389054146117e-19 
               146 6.290835826073e-19 9.677095227774e-01 1.191176805580e-01 2.543139972082e-08 9.017679005945e-20 5.389067925479e-19 
               147 6.290831901627e-19 9.677088987292e-01 1.191226891583e-01 2.372826854392e-08 9.017497590221e-20 5.389082142605e-19 
               148 6.290828820546e-19 9.677082843811e-01 1.191276182252e-01 2.217158247031e-08 9.017327980015e-20 5.389096022545e-19 
               149 6.290641343925e-19 9.676664521638e-01 1.194622229286e-01 -7.610860594196e-08 9.006092583013e-20 5.390032085623e-19 
               150 6.290695838283e-19 9.676621516723e-01 1.194959727858e-01 -3.612802656018e-08 9.006602731987e-20 5.390035565085e-19 
               151 6.290648171540e-19 9.676610985888e-01 1.195042445113e-01 -3.182899165792e-08 9.006194622703e-20 5.390028709269e-19 
               152 6.290615386338e-19 9.676604762931e-01 1.195091328561e-01 -2.968220214824e-08 9.005903683392e-20 5.390025017999e-19 
               153 6.290612159151e-19 9.676598999971e-01 1.195136563717e-01 -2.783348990547e-08 9.005904842704e-20 5.390021674881e-19 
